name,dateOfBirth,dateOfDeath,nationality,description,region,groups,imageURL
Edmond Halley,1656-11-08,1742-01-14,English,Predicted the return period of the comet that bears his name; key work in astronomy and geophysics.,Europe,Science,
Dmitri Mendeleev,1834-02-08,1907-02-02,Russian,"Russian chemist who created the Periodic Table of Elements, predicting properties of undiscovered elements.",Europe,Science,
Moctezuma I,1398-01-01,1469-01-01,Aztec,Huey Tlatoani who expanded the Aztec Empire and engineered Tenochtitlan's aqueducts.,North America,Politics & Military,
Martin Luther,1483-11-10,1546-02-18,German,Author of the 95 Theses; catalyst of the Protestant Reformation.,Europe,Religion,
James Cook,1728-11-07,1779-02-14,British,"Led three voyages mapping much of the Pacific, including Australia, New Zealand, and Hawaii.",Europe,Exploration & Discovery,
Yongzheng Emperor (清雍正帝),1678-12-13,1735-10-08,Chinese,Energetic reformer; streamlined taxes and strengthened central control.,East Asia,Politics & Military,
Henry VIII,1491-06-28,1547-01-28,English,English monarch who launched the English Reformation and established the Church of England.,Europe,Politics & Military,
Murad I,1326-06-29,1389-06-15,Ottoman,Expanded Ottoman rule into the Balkans and won the Battle of Kosovo.,Middle East,Politics & Military,
Karl Marx,1818-05-05,1883-03-14,German,"Philosopher, economist, and revolutionary whose ideas on socialism and class struggle have influenced global political movements.",Europe,Economy,
Marco Polo,1254-09-15,1324-01-08,Venetian,"Travelled to Central Asia and China, documented in The Travels of Marco Polo, greatly influencing European knowledge of the East.",Europe,Exploration & Discovery,
Gregor Mendel,1822-07-20,1884-01-06,Austrian,Austrian scientist whose experiments with pea plants laid the foundation for modern genetics.,Europe,Science,
Robert Hooke,1635-07-28,1703-03-03,English,Pioneer of cell theory (Micrographia) and author of Hooke's Law of elasticity.,Europe,Science,
Ibn Majid,1421-01-01,1500-01-01,Omani,Renowned Arab navigator whose sea-pilot manuals guided Indian-Ocean trade routes.,Middle East,Exploration & Discovery,
Voltaire,1694-11-21,1778-05-30,French,French Enlightenment writer and critic of religious intolerance; famous for Candide and his advocacy of civil liberties.,Europe,Literature,
Wu Cheng'en (吳承恩),1500-01-01,1582-01-01,Chinese,"Traditional author of Journey to the West, blending satire, folklore, and Buddhist allegory.",East Asia,Literature,
Roger Bacon,1220-01-01,1292-06-11,English,Medieval scholar who championed empirical methods and advanced optics and alchemy.,Europe,Science,
Francisco Franco,1892-12-04,1975-11-20,Spanish,Military general who ruled Spain with an authoritarian regime following the Spanish Civil War.,Europe,Politics & Military,
Albert Einstein,1879-03-14,1955-04-18,German,A German-born theoretical physicist best known for developing the theory of relativity. He received the 1921 Nobel Prize in Physics.,Europe,Science,
Johannes Kepler,1571-12-27,1630-11-15,German,"Discovered the three laws of planetary motion, laying foundations for celestial mechanics.",Europe,Science,
Frederick the Great,1712-01-24,1786-08-17,Prussian,"King of Prussia; modernized his army and state, making Prussia a major European power.",Europe,Politics & Military,
David Hume,1711-05-07,1776-08-25,Scottish,"A Scottish philosopher best known for his highly influential system of empiricism, philosophical scepticism and metaphysical naturalism.",Europe,Philosophy,
Wang Yangming (王陽明),1472-10-31,1529-01-09,Chinese,"Neo-Confucian philosopher of innate knowing, highly influential in East Asian thought.",East Asia,Philosophy,
Pachacuti,1418-01-01,1471-01-01,Inca,Transformed the Kingdom of Cusco into the vast Inca Empire and commissioned Machu Picchu.,South America,Politics & Military,
Pythagoras,-570-01-01,-495-01-01,Greek,"Philosopher and mathematician who founded the Pythagorean school; contributions to mathematics, music theory, and philosophy. His theorem remains fundamental to geometry.",Europe,Philosophy,
Heraclitus,-535-01-01,-475-01-01,Greek,Pre-Socratic philosopher known for his doctrine of change and the concept of Logos; famous for the statement that one cannot step into the same river twice.,Europe,Philosophy,
Parmenides,-515-01-01,-450-01-01,Greek,Pre-Socratic philosopher who argued that reality is unchanging and that change is illusory; founder of the Eleatic school.,Europe,Philosophy,
Socrates,-470-01-01,-399-01-01,Greek,Athenian philosopher who laid foundations of Western philosophy through his Socratic method; never wrote but known through Plato's dialogues. Executed by hemlock for impiety.,Europe,Philosophy,
Hippocrates,-460-01-01,-370-01-01,Greek,Father of Medicine who established medicine as a profession distinct from philosophy and religion; the Hippocratic Oath bears his name.,Europe,Science,
Democritus,-460-01-01,-370-01-01,Greek,"Pre-Socratic philosopher who developed atomic theory, proposing that all matter consists of indivisible atoms moving through void.",Europe,Philosophy,
Thucydides,-460-01-01,-400-01-01,Greek,Athenian historian whose History of the Peloponnesian War set standards for historical scholarship with critical analysis and evidence-based writing.,Europe,Literature,
Plato,-428-01-01,-348-01-01,Greek,Student of Socrates and teacher of Aristotle; founded the Academy in Athens. His dialogues and theory of Forms profoundly shaped Western philosophy.,Europe,Philosophy,
Aristotle,-384-01-01,-322-01-01,Greek,"Student of Plato and tutor of Alexander the Great; his works on logic, metaphysics, ethics, politics, and natural sciences dominated Western thought for millennia.",Europe,Philosophy,
Demosthenes,-384-01-01,-322-01-01,Greek,Greatest Athenian orator whose speeches against Philip II of Macedon exemplified classical rhetoric and Athenian resistance to Macedonian expansion.,Europe,Literature,
Euclid,-325-01-01,-265-01-01,Greek,Mathematician whose Elements became the most influential textbook in history; systematized geometry and established rigorous mathematical proof.,Europe,Science,
Archimedes,-287-01-01,-212-01-01,Greek,"Mathematician, physicist, and engineer who discovered principles of buoyancy and leverage; invented war machines to defend Syracuse. Killed during Roman siege.",Europe,Science,
Eratosthenes,-276-01-01,-194-01-01,Greek,"Polymath who calculated Earth's circumference with remarkable accuracy; coined the term ""geography"" and created early world maps.",Europe,Science,
Leonidas I,-540-01-01,-480-08-11,Greek,"Spartan king who led 300 Spartans in heroic last stand at Thermopylae against Persian forces, becoming symbol of courage and sacrifice.",Europe,Politics & Military,
Pericles,-495-01-01,-429-01-01,Greek,"Athenian statesman during the Golden Age; promoted democracy, arts, and architecture including the Parthenon. His funeral oration exemplifies democratic ideals.",Europe,Politics & Military,
Alexander the Great,-356-07-20,-323-06-10,Greek,"King of Macedon who created one of history's largest empires, spreading Hellenistic culture from Greece to India. Never lost a battle.",Europe,Politics & Military,
Philip II of Macedon,-382-01-01,-336-01-01,Greek,Father of Alexander the Great; transformed Macedon into the dominant Greek power through military innovation and diplomatic skill.,Europe,Politics & Military,
Cyrus the Great,-600-01-01,-530-01-01,Persian,"Founder of the Achaemenid Persian Empire; known for religious tolerance and the Cyrus Cylinder, earliest declaration of human rights.",Middle East,Politics & Military,
Darius I,-550-01-01,-486-01-01,Persian,"Achaemenid emperor who reorganized the empire with satrapies, standardized coinage, and built the Royal Road. Invaded Greece but defeated at Marathon.",Middle East,Politics & Military,
Xerxes I,-519-01-01,-465-08-01,Persian,Persian king who led massive invasion of Greece; defeated at Salamis and Plataea. Known from Herodotus's Histories and Biblical Book of Esther.,Middle East,Politics & Military,
Mani,216-04-14,274-02-26,Persian,"Prophet and founder of Manichaeism, a major Gnostic religion blending Zoroastrian, Christian, and Buddhist elements that spread from Rome to China.",Middle East,Religion,
Scipio Africanus,-236-01-01,-183-01-01,Roman,"Roman general who defeated Hannibal at Zama, ending the Second Punic War and establishing Roman dominance in the Mediterranean.",Europe,Politics & Military,
Cato the Elder,-234-01-01,-149-01-01,Roman,"Roman statesman and historian who championed traditional Roman values and advocated destruction of Carthage with his famous ""Carthago delenda est.""",Europe,Politics & Military,
Cicero,-106-01-03,-043-12-07,Roman,"Roman statesman, orator, and philosopher whose writings on rhetoric, politics, and philosophy shaped Latin prose and Western thought.",Europe,Literature,
Julius Caesar,-100-07-12,-044-03-15,Roman,"Roman general and statesman who conquered Gaul, crossed the Rubicon, and became dictator. His assassination led to end of the Republic.",Europe,Politics & Military,
Marcus Antonius (Mark Antony),-083-01-14,-030-08-01,Roman,"Roman general and triumvir; formed alliance with Cleopatra VII, defeated by Octavian at Actium, ending the Roman Republic.",Europe,Politics & Military,
Cleopatra VII,-069-01-01,-030-08-12,Egyptian,Last active pharaoh of Ptolemaic Egypt; formed political and romantic alliances with Julius Caesar and Mark Antony to preserve Egyptian independence.,Middle East,Politics & Military,
Augustus (Octavian),-063-09-23,014-08-19,Roman,First Roman Emperor who ended civil wars and established the Pax Romana. His 40-year reign transformed Rome from republic to empire.,Europe,Politics & Military,
Tiberius,-042-11-16,037-03-16,Roman,"Second Roman Emperor, stepson of Augustus; capable administrator but reclusive ruler. Reigned during Jesus Christ's crucifixion.",Europe,Politics & Military,
Nero,037-12-15,068-06-09,Roman,"Fifth Roman Emperor notorious for tyranny, persecution of Christians, and possibly setting the Great Fire of Rome. His suicide ended the Julio-Claudian dynasty.",Europe,Politics & Military,
Vespasian,009-11-17,079-06-23,Roman,Roman Emperor who restored stability after Year of Four Emperors; began construction of Colosseum and reformed finances.,Europe,Politics & Military,
Trajan,053-09-18,117-08-09,Roman,Roman Emperor who expanded the empire to its greatest extent; renowned for administrative ability and philanthropic public works.,Europe,Politics & Military,
Hadrian,076-01-24,138-07-10,Roman,Roman Emperor who built Hadrian's Wall and the Pantheon; promoted Greek culture and traveled extensively throughout the empire.,Europe,Politics & Military,
Marcus Aurelius,121-04-26,180-03-17,Roman,Roman Emperor and Stoic philosopher; his Meditations remains a classic of philosophy. Last of the Five Good Emperors.,Europe,Philosophy,
Diocletian,244-12-22,311-12-03,Roman,"Roman Emperor who divided the empire into the Tetrarchy, reformed administration, and launched the last great persecution of Christians.",Europe,Politics & Military,
Constantine the Great,272-02-27,337-05-22,Roman,First Christian Roman Emperor who legalized Christianity with the Edict of Milan and founded Constantinople. Convened Council of Nicaea.,Europe,Politics & Military,
Julian the Apostate,331-01-01,363-06-26,Roman,Roman Emperor who attempted to restore paganism and traditional Roman religion after Constantine's Christianization; died fighting Persia.,Europe,Politics & Military,
Theodosius I,347-01-11,395-01-17,Roman,Last emperor to rule both Eastern and Western Roman empires; made Christianity the state religion and banned pagan practices.,Europe,Politics & Military,
Virgil,-070-10-15,-019-09-21,Roman,"Roman poet whose Aeneid became Rome's national epic, glorifying Roman origins and Augustus's rule. Also wrote Eclogues and Georgics.",Europe,Literature,
Horace,-065-12-08,-008-11-27,Roman,"Roman lyric poet known for his Odes, Satires, and Epistles; his phrase ""carpe diem"" (seize the day) endures.",Europe,Literature,
Ovid,-043-03-20,017-01-01,Roman,"Roman poet famous for Metamorphoses, a narrative poem of Greek and Roman mythology that profoundly influenced Western art and literature.",Europe,Literature,
Seneca the Younger,-004-01-01,065-04-01,Roman,"Stoic philosopher, statesman, and tutor to Nero; his philosophical writings and tragedies influenced medieval and Renaissance thought.",Europe,Philosophy,
Plutarch,046-01-01,120-01-01,Greek,"Greek historian and biographer whose Parallel Lives compared Greek and Roman leaders, profoundly influencing Western literature and biography.",Europe,Literature,
Tacitus,056-01-01,120-01-01,Roman,"Roman historian whose Annals and Histories provided critical accounts of the Roman Empire; known for concise, powerful prose.",Europe,Literature,
Ptolemy (Claudius Ptolemaeus),100-01-01,170-01-01,Egyptian-Greek,"Mathematician, astronomer, and geographer whose geocentric model dominated astronomy for 1400 years. His Geography mapped the known world.",Middle East,Science,
Galen,129-01-01,216-01-01,Greek,"Physician whose theories dominated Western medicine for 1300 years; made advances in anatomy, physiology, and pharmacology.",Europe,Science,
Jesus Christ,-004-01-01,030-04-03,Jewish,"Central figure of Christianity; Jewish preacher whose teachings on love, forgiveness, and salvation formed the basis of Christian theology.",Middle East,Religion,
Paul the Apostle,005-01-01,067-01-01,Jewish-Roman,Early Christian missionary whose epistles comprise much of the New Testament; transformed Christianity from Jewish sect to world religion.,Middle East,Religion,
Augustine of Hippo,354-11-13,430-08-28,Roman-African,Bishop and theologian whose works including Confessions and City of God shaped Christian doctrine and Western philosophy.,Africa,Religion,
Phidias,-480-01-01,-430-01-01,Greek,Greatest sculptor of classical Greece; created the statue of Zeus at Olympia (one of Seven Wonders) and supervised Parthenon sculptures.,Europe,Visual Arts,
Praxiteles,-400-01-01,-330-01-01,Greek,"Greek sculptor who pioneered naturalistic and graceful style; famous for Aphrodite of Knidos, first major nude female statue.",Europe,Visual Arts,
Homer,-800-01-01,-750-01-01,Greek,"Epic poet attributed with composing the Iliad and Odyssey, foundational works of Western literature. Historical existence debated but influence undeniable.",Europe,Literature,
Confucius (孔子),-551-09-28,-479-04-11,Chinese,"Founder of Confucianism whose teachings on ethics, family, and governance shaped East Asian civilization for millennia. His Analects became foundation of Chinese education.",East Asia,Philosophy,
Laozi (老子),-571-01-01,-471-01-01,Chinese,Legendary founder of Taoism and author of the Tao Te Ching; his philosophy of natural harmony and non-action profoundly influenced Chinese thought.,East Asia,Philosophy,
Sun Tzu (孫子),-544-01-01,-496-01-01,Chinese,"Military strategist and author of The Art of War, the most influential military treatise in history, widely applied to strategy, business, and leadership.",East Asia,Politics & Military,
Mozi (墨子),-470-01-01,-391-01-01,Chinese,"Philosopher who founded Mohism emphasizing universal love, meritocracy, and frugality; challenged Confucian thought during Warring States period.",East Asia,Philosophy,
Mencius (孟子),-372-01-01,-289-01-01,Chinese,Confucian philosopher who argued human nature is inherently good; second only to Confucius in influence on Confucian thought.,East Asia,Philosophy,
Zhuangzi (莊子),-369-01-01,-286-01-01,Chinese,"Taoist philosopher whose poetic and paradoxical writings on freedom, relativity, and spontaneity became foundational Taoist texts.",East Asia,Philosophy,
Xunzi (荀子),-310-01-01,-235-01-01,Chinese,Confucian philosopher who argued human nature is inherently selfish and requires education and ritual; teacher of Han Feizi and Li Si.,East Asia,Philosophy,
Han Feizi (韓非子),-280-01-01,-233-01-01,Chinese,Legalist philosopher whose writings on autocratic rule and law influenced Qin Shi Huang; emphasized strict laws and harsh punishments.,East Asia,Philosophy,
Shang Yang (商鞅),-390-01-01,-338-01-01,Chinese,"Qin statesman whose Legalist reforms strengthened the state through agriculture, military, and centralized control, laying groundwork for Qin unification.",East Asia,Politics & Military,
Bai Qi (白起),-332-01-01,-257-01-01,Chinese,"Qin general known as the Human Butcher; won over 70 battles and killed hundreds of thousands, key to Qin military dominance.",East Asia,Politics & Military,
Lord Mengchang (孟嘗君),-314-01-01,-279-01-01,Chinese,Influential nobleman of Qi state famous for his network of retainers and political maneuvering during Warring States period.,East Asia,Politics & Military,
Qin Shi Huang (秦始皇),-259-02-18,-210-09-10,Chinese,"First Emperor of unified China who standardized writing, currency, and measurements; built Great Wall and Terracotta Army; burned books and buried scholars.",East Asia,Politics & Military,
Li Si (李斯),-280-01-01,-208-09-01,Chinese,"Qin chancellor who implemented Legalist policies, standardized script, and assisted Qin unification; later executed during court intrigue.",East Asia,Politics & Military,
Liu Bang (劉邦),-256-01-01,-195-06-01,Chinese,Peasant who overthrew Qin and founded Han Dynasty as Emperor Gaozu; established 400-year dynasty that defined Chinese culture.,East Asia,Politics & Military,
Xiao He (蕭何),-257-01-01,-193-01-01,Chinese,Chief adviser to Liu Bang who designed Han governmental system and legal code; ensured smooth transition from Qin to Han.,East Asia,Politics & Military,
Han Xin (韓信),-231-01-01,-196-01-01,Chinese,Brilliant Han military strategist who won decisive battles establishing the Han Dynasty; later executed on suspicion of rebellion.,East Asia,Politics & Military,
Emperor Wu of Han (漢武帝),-156-07-14,-087-03-29,Chinese,"Greatest Han emperor who expanded empire, established Confucianism as state ideology, and opened Silk Road trade with the West.",East Asia,Politics & Military,
Sima Qian (司馬遷),-145-01-01,-086-01-01,Chinese,"Grand Historian who wrote Records of the Grand Historian, foundational history of China covering 2000+ years; endured castration to complete his work.",East Asia,Literature,
Ban Gu (班固),032-01-01,092-01-01,Chinese,"Han historian who wrote Book of Han, establishing the standard format for Chinese dynastic histories.",East Asia,Literature,
Ban Zhao (班昭),045-01-01,116-01-01,Chinese,Female scholar who completed her brother Ban Gu's Book of Han and wrote Lessons for Women; most famous female Confucian scholar.,East Asia,Literature,
Zhang Heng (張衡),078-01-01,139-01-01,Chinese,"Han polymath who invented the seismoscope (first earthquake detector), made astronomical discoveries, and advanced mathematics.",East Asia,Science,
Dong Zhuo (董卓),138-01-01,192-05-22,Chinese,Warlord whose tyranny in Luoyang precipitated the collapse of Han Dynasty and beginning of Three Kingdoms era.,East Asia,Politics & Military,
Cao Cao (曹操),155-07-18,220-03-15,Chinese,Brilliant strategist and warlord who dominated northern China; founder of Wei kingdom; portrayed as villain in Romance of Three Kingdoms but effective ruler.,East Asia,Politics & Military,
Liu Bei (劉備),161-07-16,223-06-10,Chinese,Warlord who claimed Han imperial descent and founded Shu Han kingdom; portrayed as virtuous hero in Romance of Three Kingdoms.,East Asia,Politics & Military,
Sun Quan (孫權),182-07-05,252-05-21,Chinese,Founder of Wu kingdom who controlled southern China during Three Kingdoms period; ruled longest of the three kingdoms.,East Asia,Politics & Military,
Zhuge Liang (諸葛亮),181-01-01,234-10-08,Chinese,Legendary strategist and chancellor of Shu Han; portrayed in Romance of Three Kingdoms as epitome of wisdom and loyalty.,East Asia,Politics & Military,
Guan Yu (關羽),160-01-01,220-01-01,Chinese,General of Shu Han later deified as God of War; symbol of loyalty and righteousness in Chinese culture.,East Asia,Politics & Military,
Qu Yuan (屈原),-340-01-01,-278-01-01,Chinese,"Poet and minister of Chu whose suicide by drowning inspired Dragon Boat Festival; author of Li Sao, masterpiece of classical Chinese poetry.",East Asia,Literature,
Cai Lun (蔡倫),050-01-01,121-01-01,Chinese,Han court official credited with inventing paper-making process that revolutionized writing and record-keeping worldwide.,East Asia,Science,
Wang Xizhi (王羲之),303-01-01,361-01-01,Chinese,Master calligrapher known as the Sage of Calligraphy; his Preface to the Poems Composed at the Orchid Pavilion is most revered work in Chinese calligraphy.,East Asia,Visual Arts,
Siddhartha Gautama (Buddha),-563-04-08,-483-01-01,Indian,Founder of Buddhism who taught the Middle Way and Four Noble Truths; his teachings spread across Asia becoming one of world's major religions.,South Asia,Religion,
Mahavira,-599-01-01,-527-01-01,Indian,Founder of Jainism who taught extreme non-violence and asceticism; contemporary of Buddha and last of 24 Tirthankaras.,South Asia,Religion,
Chandragupta Maurya,-340-01-01,-297-01-01,Indian,"Founded Maurya Empire, first to unify most of Indian subcontinent; grandfather of Ashoka.",South Asia,Politics & Military,
Ashoka the Great,-304-01-01,-232-01-01,Indian,Mauryan emperor who converted to Buddhism after brutal Kalinga War; spread Buddhism across Asia through missions and edicts carved in stone.,South Asia,Politics & Military,
Chanakya (Kautilya),-375-01-01,-283-01-01,Indian,"Political philosopher and royal adviser who wrote Arthashastra, treatise on statecraft, economics, and military strategy; guided Chandragupta Maurya.",South Asia,Philosophy,
Patanjali,-200-01-01,-150-01-01,Indian,"Sage who compiled the Yoga Sutras, foundational text of classical yoga philosophy and practice.",South Asia,Philosophy,
Nagarjuna,150-01-01,250-01-01,Indian,Buddhist philosopher who founded Madhyamaka school emphasizing emptiness; one of most influential Buddhist thinkers after Buddha himself.,South Asia,Philosophy,
Kalidasa,350-01-01,450-01-01,Indian,Greatest Sanskrit poet and playwright; author of Shakuntala and The Cloud Messenger; flourished during Gupta golden age.,South Asia,Literature,
Aryabhata,476-01-01,550-01-01,Indian,"Mathematician and astronomer who calculated pi accurately, understood Earth's rotation, and developed sine tables; influenced Islamic and European mathematics.",South Asia,Science,
Emperor Jimmu,-711-02-11,-585-04-09,Japanese,Legendary first emperor of Japan who established Yamato dynasty; regarded as mythical founder though historicity debated. Key figure in Shinto tradition.,East Asia,Politics & Military,
Emperor Ojin,200-01-01,310-02-15,Japanese,"Semi-legendary 15th emperor later deified as Hachiman, god of war; represents emergence of Yamato state power in early Japan.",East Asia,Politics & Military,
Empress Jingu,169-01-01,269-01-01,Japanese,Legendary empress consort and regent who supposedly led invasion of Korea; important figure in early Japanese mythology and legitimacy of imperial line.,East Asia,Politics & Military,
Prince Shotoku (聖徳太子),574-02-07,622-04-08,Japanese,"Regent who promoted Buddhism, Chinese culture, and centralized government; authored Seventeen-Article Constitution establishing ethical governance principles.",East Asia,Politics & Military,
King Gwanggaeto,374-01-01,413-10-01,Korean,Goguryeo king who greatly expanded kingdom across Manchuria and Korean peninsula; his memorial stele is major historical artifact.,East Asia,Politics & Military,
King Geunchogo,324-01-01,375-01-01,Korean,Baekje king who expanded kingdom and established formal relations with Japan and China; golden age of Baekje culture.,East Asia,Politics & Military,
Fan Shiman,205-01-01,225-01-01,Funan (Cambodian),King who expanded Funan Empire across Southeast Asia; established maritime trade networks connecting India and China.,East Asia,Politics & Military,
Zhang Qian (張騫),-164-01-01,-114-01-01,Chinese,Han diplomat whose journey to Central Asia opened the Silk Road; his reports introduced Chinese to Western regions and facilitated trade.,East Asia,Exploration & Discovery,
Gan Ying (甘英),050-01-01,110-01-01,Chinese,"Han envoy who traveled furthest west, reaching Persian Gulf; attempted to reach Rome but turned back, providing valuable geographic knowledge.",East Asia,Exploration & Discovery,
Steve Jobs,1955-02-24,2011-10-05,American,"Co-founder of Apple Inc. who revolutionized personal computing, smartphones, and digital media. The iPhone transformed global communication and technology.",North America,Economy,
Bill Gates,1955-10-28,,American,Co-founder of Microsoft who dominated personal computer software revolution. Later became major philanthropist through Gates Foundation focusing on global health.,North America,Economy,
Elon Musk,1971-06-28,,South African-American,"Entrepreneur who founded/leads Tesla, SpaceX, and other ventures. Pioneered electric vehicles and private space exploration, controversial social media presence.",North America,Economy,
Jeff Bezos,1964-01-12,,American,"Founded Amazon, transforming retail and cloud computing. Became world's wealthiest person; also founded Blue Origin space company.",North America,Economy,
Mark Zuckerberg,1984-05-14,,American,"Founded Facebook (Meta), creating world's largest social network connecting billions. Controversies over privacy, misinformation, and social impact.",North America,Economy,
Jack Ma (馬雲),1964-09-10,,Chinese,"Founded Alibaba, China's e-commerce giant. Became symbol of Chinese entrepreneurship before running afoul of government and retreating from public life.",East Asia,Economy,
Larry Page,1973-03-26,,American,"Co-founded Google with Sergey Brin, creating world's dominant search engine and reshaping how humanity accesses information.",North America,Economy,
Sergey Brin,1973-08-21,,Russian-American,"Co-founded Google with Larry Page. Born in Soviet Union, immigrated to US, helped create technologies that transformed the internet.",North America,Economy,
Barack Obama,1961-08-04,,American,"First African-American US President (2009-2017). Passed Affordable Care Act, navigated 2008 financial crisis, authorized operation that killed Osama bin Laden.",North America,Politics & Military,
Donald Trump,1946-06-14,,American,"US President (2017-2021), businessman and media personality. Controversial presidency marked by trade wars, immigration policies, and two impeachments.",North America,Politics & Military,
Angela Merkel,1954-07-17,,German,"German Chancellor (2005-2021), longest-serving leader in modern European history. Led through eurozone crisis and refugee crisis, symbol of European stability.",Europe,Politics & Military,
Margaret Thatcher,1925-10-13,2013-04-08,British,"First female British Prime Minister (1979-1990). Conservative leader who privatized industries, broke union power, and worked with Reagan to end Cold War.",Europe,Politics & Military,
Tony Blair,1953-05-06,,British,British Prime Minister (1997-2007) who modernized Labour Party. Legacy complicated by Iraq War involvement alongside George W. Bush.,Europe,Politics & Military,
Emmanuel Macron,1977-12-21,,French,"French President (2017-present), youngest since Napoleon. Centrist reformer facing challenges from both left and right populism.",Europe,Politics & Military,
Vladimir Putin,1952-10-07,,Russian,"Russian President/Prime Minister since 1999. Consolidated authoritarian control, annexed Crimea, invaded Ukraine, reasserted Russian power globally.",Europe,Politics & Military,
Xi Jinping (習近平),1953-06-15,,Chinese,"Chinese President (2012-present) who consolidated power, eliminated term limits, intensified surveillance state, and pursued aggressive foreign policy.",East Asia,Politics & Military,
Recep Tayyip Erdogan,1954-02-26,,Turkish,"Turkish President who transformed Turkey from parliamentary to presidential system. Increasingly authoritarian, expanded Turkish regional influence.",Middle East,Politics & Military,
Narendra Modi,1950-09-17,,Indian,Indian Prime Minister (2014-present) who promoted Hindu nationalism and economic development. Controversial for religious tensions and democratic backsliding concerns.,South Asia,Politics & Military,
Benjamin Netanyahu,1949-10-21,,Israeli,"Longest-serving Israeli Prime Minister. Dominated Israeli politics for decades, hardline on Palestinians, strengthened ties with Arab states.",Middle East,Politics & Military,
Mikhail Gorbachev,1931-03-02,2022-08-30,Soviet-Russian,Last Soviet leader whose glasnost and perestroika reforms led to end of Cold War and Soviet Union's collapse. Nobel Peace Prize winner.,Europe,Politics & Military,
Nelson Mandela,1918-07-18,2013-12-05,South African,"Anti-apartheid revolutionary who became South Africa's first Black president. Symbol of reconciliation and human rights, spent 27 years imprisoned.",Africa,Politics & Military,
Aung San Suu Kyi,1945-06-19,,Burmese,"Democracy activist who spent years under house arrest, won Nobel Peace Prize. Later led Myanmar government but legacy tarnished by Rohingya crisis.",East Asia,Politics & Military,
Malala Yousafzai,1997-07-12,,Pakistani,"Education activist who survived Taliban assassination attempt. Youngest Nobel Prize winner, advocates for girls' education worldwide.",South Asia,Politics & Military,
Greta Thunberg,2003-01-03,,Swedish,Youth climate activist who inspired global climate strikes. Symbol of young generation's climate activism and urgency.,Europe,Politics & Military,
Ai Weiwei (艾未未),1957-08-28,,Chinese,Artist and activist who challenges Chinese government through art. Imprisoned and exiled for political activism and human rights advocacy.,East Asia,Visual Arts,
Desmond Tutu,1931-10-07,2021-12-26,South African,"Anglican archbishop and anti-apartheid activist. Led Truth and Reconciliation Commission, symbol of moral leadership and social justice.",Africa,Religion,
Stephen Hawking,1942-01-08,2018-03-14,British,Theoretical physicist who revolutionized understanding of black holes and cosmology despite ALS. Made complex science accessible to public.,Europe,Science,
Tim Berners-Lee,1955-06-08,,British,"Invented the World Wide Web in 1989, fundamentally transforming global communication, commerce, and information sharing.",Europe,Science,
Craig Venter,1946-10-14,,American,Led private effort to sequence human genome. Pioneer in synthetic biology and personalized medicine.,North America,Science,
Tu Youyou (屠呦呦),1930-12-30,,Chinese,"Discovered artemisinin for malaria treatment, saving millions of lives. First Chinese woman to win Nobel Prize in Physiology or Medicine.",East Asia,Science,
Jennifer Doudna,1964-02-19,,American,"Co-developed CRISPR gene editing technology, revolutionary tool for genetic engineering. Nobel Prize winner raising ethical questions about human genome editing.",North America,Science,
Toni Morrison,1931-02-18,2019-08-05,American,"Nobel Prize-winning novelist whose works explored African-American experience. Author of Beloved, Song of Solomon, and other masterworks.",North America,Literature,
Gabriel García Márquez,1927-03-06,2014-04-17,Colombian,"Nobel Prize-winning author of One Hundred Years of Solitude. Pioneer of magical realism, most influential Latin American writer of modern era.",South America,Literature,
Haruki Murakami (村上春樹),1949-01-12,,Japanese,Internationally acclaimed novelist blending surrealism with contemporary themes. Works like Norwegian Wood and 1Q84 achieved global popularity.,East Asia,Literature,
Chimamanda Ngozi Adichie,1977-09-15,,Nigerian,"Acclaimed novelist and feminist voice. Author of Americanah and Half of a Yellow Sun, TED talk on feminism viewed millions of times.",Africa,Literature,
Michael Jackson,1958-08-29,2009-06-25,American,"King of Pop whose music, dance, and videos transformed popular culture globally. Thriller remains best-selling album ever, controversial personal life.",North America,Music,
Beyoncé,1981-09-04,,American,"Global superstar who transcended music to become cultural icon. Groundbreaking visual albums, powerful performances, advocate for Black culture and feminism.",North America,Music,
Taylor Swift,1989-12-13,,American,One of best-selling music artists who evolved from country to pop to alternative. Cultural phenomenon with massive fanbase and industry influence.,North America,Music,
BTS (K-pop group representative),1990-01-01,,South Korean,"Global K-pop phenomenon that broke Western music barriers. Symbol of Korean Wave cultural influence worldwide, ARMY fanbase unprecedented in scale.",East Asia,Music,
Steven Spielberg,1946-12-18,,American,"Most commercially successful director in history. Created Jaws, E.T., Jurassic Park, Schindler's List, shaped modern blockbuster cinema.",North America,Visual Arts,
Oprah Winfrey,1954-01-29,,American,"Media mogul whose talk show dominated daytime TV. First Black female billionaire, influential philanthropist and cultural tastemaker.",North America,Economy,
Michael Jordan,1963-02-17,,American,"Greatest basketball player who globalized NBA and transformed athlete branding. Six championships, cultural icon beyond sports.",North America,Politics & Military,
Lionel Messi,1987-06-24,,Argentine,"Considered greatest footballer ever alongside Ronaldo. Won record Ballon d'Ors, led Argentina to World Cup victory in 2022.",South America,Politics & Military,
Cristiano Ronaldo,1985-02-05,,Portuguese,"Five-time Ballon d'Or winner, all-time top scorer in football history. Global brand transcending sport, rivalry with Messi defined an era.",Europe,Politics & Military,
